ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
270	11718011-01234028-51450007	HUF	2/16/2016		+IZV 00108043130 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
271	11718011-01234028-51450007	HUF	2/17/2016		CASH WITHDRAWAL CAK-LCW/1173/A/0089	01234567-98765432	-50000		111
272	11718011-01234028-51450007	HUF	2/17/2016		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0089	01234567-98765432	-268		101
273	11718011-01234028-51450007	HUF	2/29/2016		Havi zarlati dij	01234567-98765432	-1059		101
274	11718011-01234028-51450007	HUF	2/29/2016		Konyvelesi teteldij	01234567-98765432	-33		101
275	11718011-01234028-51450007	HUF	2/29/2016		Konyvelesi teteldij-PTI	01234567-98765432	-4.99		101
276	11718011-01234028-51450007	HUF	2/29/2016		Konyvelesi teteldij-PTIKP	01234567-98765432	-300		101
277	11718011-01234028-51450007	HUF	3/7/2016		+IZV 00109783084 Balogh Gabor DR	01234567-98765432	6300		4
278	11718011-01234028-51450007	HUF	3/16/2016		+IZV 00110809418 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
279	11718011-01234028-51450007	HUF	3/31/2016		Int.Appl. to   31/03/16	01234567-98765432	79.09		102
280	11718011-01234028-51450007	HUF	3/31/2016		CRT to         31/03/16	01234567-98765432	-11.86		101
281	11718011-01234028-51450007	HUF	3/31/2016		Havi zarlati dij	01234567-98765432	-1059		101
282	11718011-01234028-51450007	HUF	3/31/2016		Konyvelesi teteldij	01234567-98765432	-22		101
283	11718011-01234028-51450007	HUF	3/31/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
284	11718011-01234028-51450007	HUF	4/5/2016		CASH WITHDRAWAL VIZDIJ	01234567-98765432	-50000		111
285	11718011-01234028-51450007	HUF	4/5/2016		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0099	01234567-98765432	-268		101
286	11718011-01234028-51450007	HUF	4/7/2016		+IZV 00112796674 Balogh Gabor DR	01234567-98765432	6300		4
